teX,teY,xy,xny,nxy,nxny
T1037,T1569,1,11,57,686
T1037,T1213,1,11,9,734
T1037,T1200,0,12,1,742
T1037,T1505,1,11,31,712
T1037,T1485,0,12,23,720
T1037,T1537,0,12,0,743
T1037,T1189,1,11,33,710
T1037,T1498,1,11,1,742
T1037,T1221,1,11,9,734
T1037,T1134,1,11,39,704
T1037,T1111,0,12,4,739
T1037,T1136,1,11,30,713
T1037,T1526,0,12,2,741
T1037,T1018,1,11,68,675
T1037,T1046,2,10,46,697
T1037,T1518,4,8,115,628
T1037,T1538,0,12,0,743
T1037,T1622,0,12,5,738
T1037,T1052,0,12,7,736
T1037,T1105,10,2,387,356
T1037,T1648,0,12,0,743
T1037,T1484,0,12,7,736
T1037,T1220,1,11,3,740
T1037,T1587,0,12,14,729
T1037,T1008,1,11,47,696
T1037,T1124,2,10,66,677
T1037,T1556,0,12,11,732
T1037,T1495,0,12,2,741
T1037,T1490,0,12,29,714
T1037,T1216,0,12,1,742
T1037,T1211,1,11,0,743
T1037,T1127,0,12,2,741
T1037,T1529,0,12,13,730
T1557,T1033,4,6,178,567
T1557,T1583,2,8,35,710
T1557,T1613,0,10,3,742
T1557,T1592,0,10,3,742
T1557,T1003,7,3,80,665
T1557,T1129,0,10,16,729
T1557,T1602,0,10,0,745
T1557,T1006,0,10,0,745
T1557,T1014,0,10,25,720
T1557,T1123,1,9,27,718
T1557,T1543,6,4,130,615
T1557,T1133,2,8,21,724
T1557,T1539,0,10,10,735
T1557,T1578,0,10,1,744
T1557,T1069,1,9,46,699
T1557,T1114,3,7,24,721
T1557,T1594,1,9,3,742
T1557,T1561,1,9,11,734
T1557,T1615,1,9,3,742
T1557,T1025,0,10,22,723
T1557,T1547,6,4,233,512
T1557,T1600,0,10,0,745
T1557,T1489,2,8,26,719
T1557,T1564,2,8,98,647
T1557,T1080,0,10,10,735
T1557,T1137,0,10,10,735
T1557,T1119,2,8,48,697
T1557,T1115,1,9,32,713
T1557,T1007,2,8,54,691
T1557,T1040,5,5,10,735
T1557,T1530,0,10,2,743
T1557,T1135,3,7,45,700
T1557,T1120,0,10,43,702
T1557,T1082,6,4,324,421
T1557,T1071,6,4,327,418
T1557,T1053,4,6,140,605
T1557,T1176,1,9,3,742
T1557,T1106,2,8,146,599
T1557,T1202,1,9,2,743
T1557,T1091,0,10,22,723
T1557,T1005,2,8,159,586
T1557,T1140,2,8,216,529
T1557,T1562,3,7,94,651
T1557,T1195,0,10,11,734
T1557,T1190,1,9,27,718
T1557,T1558,3,7,7,738
T1557,T1555,4,6,83,662
T1557,T1567,3,7,25,720
T1557,T1219,1,9,17,728
T1557,T1036,3,7,213,532
T1557,T1552,4,6,37,708
T1557,T1055,6,4,133,612
T1557,T1205,0,10,9,736
T1557,T1218,2,8,129,616
T1557,T1620,1,9,9,736
T1557,T1611,0,10,5,740
T1557,T1010,1,9,28,717
T1557,T1029,0,10,17,728
T1557,T1525,0,10,0,745
T1557,T1572,0,10,18,727
T1557,T1550,4,6,16,729
T1557,T1011,0,10,1,744
T1557,T1589,2,8,15,730
T1557,T1560,5,5,115,630
T1557,T1185,0,10,11,734
T1557,T1021,5,5,81,664
T1557,T1596,0,10,0,745
T1557,T1207,0,10,1,744
T1557,T1610,0,10,4,741
T1557,T1112,2,8,130,615
T1557,T1580,0,10,0,745
T1557,T1491,1,9,4,741
T1557,T1535,0,10,0,745
T1557,T1563,0,10,2,743
T1557,T1217,1,9,11,734
T1557,T1092,0,10,3,742
T1557,T1222,2,8,17,728
T1557,T1595,0,10,9,736
T1557,T1548,4,6,50,695
T1557,T1125,2,8,29,716
T1557,T1016,6,4,221,524
T1557,T1087,5,5,76,669
T1557,T1090,3,7,89,656
T1557,T1059,6,4,422,323
T1557,T1482,2,8,12,733
T1557,T1020,1,9,19,726
T1557,T1070,5,5,264,481
T1557,T1609,0,10,5,740
T1557,T1083,5,5,268,477
T1557,T1568,0,10,39,706
T1557,T1647,0,10,1,744
T1557,T1074,3,7,88,657
T1557,T1649,0,10,3,742
T1557,T1049,4,6,75,670
T1557,T1584,2,8,12,733
T1557,T1542,1,9,13,732
T1557,T1612,0,10,0,745
T1557,T1586,1,9,6,739
T1557,T1497,2,8,83,662
T1557,T1102,3,7,86,659
T1557,T1608,2,8,15,730
T1557,T1104,1,9,8,737
T1557,T1480,0,10,16,729
T1557,T1619,0,10,1,744
T1557,T1528,0,10,3,742
T1557,T1204,3,7,153,592
T1557,T1057,4,6,230,515
T1557,T1072,0,10,4,741
T1557,T1041,5,5,126,619
T1557,T1591,2,8,4,741
T1557,T1606,0,10,2,743
T1557,T1621,0,10,2,743
T1557,T1554,0,10,7,738
T1557,T1212,0,10,0,745
T1557,T1590,0,10,4,741
T1557,T1210,3,7,20,725
T1557,T1534,2,8,3,742
T1557,T1199,0,10,8,737
T1557,T1593,2,8,3,742
T1557,T1098,2,8,16,729
T1557,T1048,3,7,31,714
T1557,T1597,0,10,2,743
T1557,T1566,3,7,127,618
T1557,T1110,2,8,38,707
T1557,T1565,0,10,5,740
T1557,T1559,0,10,31,714
T1557,T1001,1,9,39,706
T1557,T1039,0,10,11,734
T1557,T1601,0,10,1,744
T1557,T1574,2,8,78,667
T1557,T1078,3,7,58,687
T1557,T1571,1,9,36,709
T1557,T1068,2,8,29,716
T1557,T1531,0,10,4,741
T1557,T1027,5,5,360,385
T1557,T1201,1,9,7,738
T1557,T1546,3,7,45,700
T1557,T1187,0,10,3,742
T1557,T1599,0,10,0,745
T1557,T1486,0,10,42,703
T1557,T1553,4,6,65,680
T1557,T1573,3,7,178,567
T1557,T1056,6,4,139,606
T1557,T1203,1,9,47,698
T1557,T1570,1,9,22,723
T1557,T1095,0,10,62,683
T1557,T1012,2,8,94,651
T1557,T1030,0,10,14,731
T1557,T1499,0,10,4,741
T1557,T1614,1,9,29,716
T1557,T1197,0,10,12,733
T1557,T1132,1,9,101,644
T1557,T1598,1,9,12,733
T1557,T1496,0,10,12,733
T1557,T1585,3,7,11,734
T1557,T1588,4,6,58,687
T1557,T1569,5,5,53,692
T1557,T1213,0,10,10,735
T1557,T1200,0,10,1,744
T1557,T1505,1,9,31,714
T1557,T1485,1,9,22,723
T1557,T1537,0,10,0,745
T1557,T1189,1,9,33,712
T1557,T1498,0,10,2,743
T1557,T1221,1,9,9,736
T1557,T1134,4,6,36,709
T1557,T1111,1,9,3,742
T1557,T1136,3,7,28,717
T1557,T1526,0,10,2,743
T1557,T1018,1,9,68,677
T1557,T1046,4,6,44,701
T1557,T1518,3,7,116,629
T1557,T1538,0,10,0,745
T1557,T1622,0,10,5,740
T1557,T1052,0,10,7,738
T1557,T1105,4,6,393,352
T1557,T1648,0,10,0,745
T1557,T1484,1,9,6,739
T1557,T1220,1,9,3,742
T1557,T1587,3,7,11,734
T1557,T1008,1,9,47,698
T1557,T1124,1,9,67,678
T1557,T1556,0,10,11,734
T1557,T1495,0,10,2,743
T1557,T1490,0,10,29,716
T1557,T1216,0,10,1,744
T1557,T1211,0,10,1,744
T1557,T1127,1,9,1,744
T1557,T1529,1,9,12,733
T1033,T1583,11,171,26,547
T1033,T1613,0,182,3,570
T1033,T1592,1,181,2,571
T1033,T1003,25,157,62,511
T1033,T1129,3,179,13,560
T1033,T1602,0,182,0,573
T1033,T1006,0,182,0,573
T1033,T1014,2,180,23,550
T1033,T1123,12,170,16,557
T1033,T1543,33,149,103,470
T1033,T1133,10,172,13,560
T1033,T1539,5,177,5,568
T1033,T1578,0,182,1,572
T1033,T1069,21,161,26,547
T1033,T1114,9,173,18,555
T1033,T1594,1,181,3,570
T1033,T1561,4,178,8,565
T1033,T1615,2,180,2,571
T1033,T1025,10,172,12,561
T1033,T1547,93,89,146,427
T1033,T1600,0,182,0,573
T1033,T1489,5,177,23,550
T1033,T1564,31,151,69,504
T1033,T1080,2,180,8,565
T1033,T1137,4,178,6,567
T1033,T1119,19,163,31,542
T1033,T1115,16,166,17,556
T1033,T1007,23,159,33,540
T1033,T1040,3,179,12,561
T1033,T1530,0,182,2,571
T1033,T1135,21,161,27,546
T1033,T1120,16,166,27,546
T1033,T1082,155,27,175,398
T1033,T1071,126,56,207,366
T1033,T1053,59,123,85,488
T1033,T1176,1,181,3,570
T1033,T1106,56,126,92,481
T1033,T1202,2,180,1,572
T1033,T1091,6,176,16,557
T1033,T1005,67,115,94,479
T1033,T1140,72,110,146,427
T1033,T1562,32,150,65,508
T1033,T1195,4,178,7,566
T1033,T1190,10,172,18,555
T1033,T1558,4,178,6,567
T1033,T1555,39,143,48,525
T1033,T1567,11,171,17,556
T1033,T1219,5,177,13,560
T1033,T1036,65,117,151,422
T1033,T1552,12,170,29,544
T1033,T1055,50,132,89,484
T1033,T1205,0,182,9,564
T1033,T1218,52,130,79,494
T1033,T1620,3,179,7,566
T1033,T1611,0,182,5,568
T1033,T1010,18,164,11,562
T1033,T1029,5,177,12,561
T1033,T1525,0,182,0,573
T1033,T1572,5,177,13,560
T1033,T1550,5,177,15,558
T1033,T1011,0,182,1,572
T1033,T1589,7,175,10,563
T1033,T1560,50,132,70,503
T1033,T1185,5,177,6,567
T1033,T1021,34,148,52,521
T1033,T1596,0,182,0,573
T1033,T1207,0,182,1,572
T1033,T1610,0,182,4,569
T1033,T1112,50,132,82,491
T1033,T1580,0,182,0,573
T1033,T1491,4,178,1,572
T1033,T1535,0,182,0,573
T1033,T1563,0,182,2,571
T1033,T1217,5,177,7,566
T1033,T1092,0,182,3,570
T1033,T1222,4,178,15,558
T1033,T1595,4,178,5,568
T1033,T1548,21,161,33,540
T1033,T1125,17,165,14,559
T1033,T1016,117,65,110,463
T1033,T1087,36,146,45,528
T1033,T1090,22,160,70,503
T1033,T1059,134,48,294,279
T1033,T1482,7,175,7,566
T1033,T1020,5,177,15,558
T1033,T1070,101,81,168,405
T1033,T1609,0,182,5,568
T1033,T1083,92,90,181,392
T1033,T1568,15,167,24,549
T1033,T1647,0,182,1,572
T1033,T1074,34,148,57,516
T1033,T1649,0,182,3,570
T1033,T1049,38,144,41,532
T1033,T1584,5,177,9,564
T1033,T1542,3,179,11,562
T1033,T1612,0,182,0,573
T1033,T1586,2,180,5,568
T1033,T1497,39,143,46,527
T1033,T1102,29,153,60,513
T1033,T1608,7,175,10,563
T1033,T1104,6,176,3,570
T1033,T1480,5,177,11,562
T1033,T1619,0,182,1,572
T1033,T1528,0,182,3,570
T1033,T1204,50,132,106,467
T1033,T1057,97,85,137,436
T1033,T1072,1,181,3,570
